,CPI,export,import,label
1995-01-31,0.052000000000000005,0.28,0.19,0.0
1995-02-28,0.045,0.359,0.47600000000000003,0.0
1995-03-31,0.046,0.313,0.40299999999999997,0.0
1995-04-30,0.051,0.325,0.375,0.0
1995-05-31,0.052000000000000005,0.355,0.397,0.0
1995-06-30,0.042,0.354,0.428,0.0
1995-07-31,0.036000000000000004,0.378,0.35600000000000004,1.0
1995-08-31,0.034,0.396,0.344,1.0
1995-09-30,0.047,0.322,0.319,0.0
1995-10-31,0.045,0.3,0.29,0.0
1995-11-30,0.040999999999999995,0.24300000000000002,0.24100000000000002,0.0
1995-12-31,0.048,0.099,0.113,0.0
1996-01-31,0.048,0.278,0.344,0.0
1996-02-29,0.048,0.172,0.161,0.0
1996-03-31,0.044000000000000004,0.16899999999999998,0.04,0.0
1996-04-30,0.045,0.047,0.14300000000000002,0.0
1996-05-31,0.049,0.055,0.073,0.0
1996-06-30,0.052000000000000005,0.005,-0.009000000000000001,3.0
1996-07-31,0.054000000000000006,-0.055999999999999994,0.126,0.0
1996-08-31,0.053,-0.087,0.125,0.0
1996-09-30,0.045,-0.08900000000000001,-0.018000000000000002,3.0
1996-10-31,0.05,0.027999999999999997,0.155,0.0
1996-11-30,0.053,-0.006,0.125,0.0
1996-12-31,0.049,0.039,0.152,0.0
1997-01-31,0.047,-0.09,0.038,0.0
1997-02-28,0.049,-0.053,0.0,3.0
1997-03-31,0.045,-0.031000000000000003,0.076,0.0
1997-04-30,0.043,0.071,0.01,0.0
1997-05-31,0.038,0.045,-0.032,2.0
1997-06-30,0.04,0.096,0.048,0.0
1997-07-31,0.037000000000000005,0.193,-0.006999999999999999,2.0
1997-08-31,0.04,0.14,-0.113,3.0
1997-09-30,0.042,0.134,0.012,0.0
1997-10-31,0.042,0.052000000000000005,-0.07,3.0
1997-11-30,0.043,0.038,-0.12400000000000001,3.0
1997-12-31,0.066,0.017,-0.249,3.0
1998-01-31,0.083,-0.004,-0.402,3.0
1998-02-28,0.095,0.19899999999999998,-0.313,3.0
1998-03-31,0.09,0.06,-0.365,3.0
1998-04-30,0.08800000000000001,0.057999999999999996,-0.359,3.0
1998-05-31,0.08199999999999999,-0.037000000000000005,-0.38200000000000006,3.0
1998-06-30,0.075,-0.071,-0.37,3.0
1998-07-31,0.073,-0.151,-0.439,3.0
1998-08-31,0.069,-0.121,-0.381,3.0
1998-09-30,0.069,-0.052000000000000005,-0.37200000000000005,3.0
1998-10-31,0.07200000000000001,-0.147,-0.39299999999999996,3.0
1998-11-30,0.068,-0.013999999999999999,-0.289,3.0
1998-12-31,0.04,-0.001,-0.153,3.0
1999-01-31,0.015,0.028999999999999998,0.153,1.0
1999-02-28,0.002,-0.168,-0.032,2.0
1999-03-31,0.005,-0.028999999999999998,0.12300000000000001,1.0
1999-04-30,0.004,-0.047,0.109,1.0
1999-05-31,0.008,0.01,0.24600000000000002,1.0
1999-06-30,0.006,0.114,0.317,1.0
1999-07-31,0.003,0.172,0.379,1.0
1999-08-31,0.009000000000000001,0.171,0.385,1.0
1999-09-30,0.008,0.113,0.396,1.0
1999-10-31,0.012,0.265,0.485,1.0
1999-11-30,0.013999999999999999,0.217,0.409,1.0
1999-12-31,0.013999999999999999,0.204,0.454,1.0
2000-01-31,0.019,0.314,0.46,1.0
2000-02-29,0.018000000000000002,0.358,0.5750000000000001,1.0
2000-03-31,0.021,0.23800000000000002,0.527,1.0
2000-04-30,0.013999999999999999,0.17600000000000002,0.466,1.0
2000-05-31,0.011000000000000001,0.281,0.405,1.0
2000-06-30,0.022000000000000002,0.19,0.292,1.0
2000-07-31,0.03,0.23,0.39799999999999996,1.0
2000-08-31,0.024,0.30100000000000005,0.364,1.0
2000-09-30,0.035,0.265,0.313,1.0
2000-10-31,0.026000000000000002,0.134,0.242,1.0
2000-11-30,0.022000000000000002,0.055999999999999994,0.207,1.0
2000-12-31,0.027999999999999997,0.001,0.047,1.0
2001-01-31,0.034,0.04,-0.013000000000000001,2.0
2001-02-28,0.036000000000000004,0.053,0.059000000000000004,1.0
2001-03-31,0.04,-0.021,-0.08900000000000001,3.0
2001-04-30,0.048,-0.10400000000000001,-0.16,3.0
2001-05-31,0.053,-0.091,-0.13,3.0
2001-06-30,0.05,-0.152,-0.111,3.0
2001-07-31,0.048,-0.212,-0.188,3.0
2001-08-31,0.047,-0.204,-0.156,3.0
2001-09-30,0.033,-0.177,-0.11900000000000001,2.0
2001-10-31,0.034,-0.207,-0.184,2.0
2001-11-30,0.034,-0.17600000000000002,-0.18600000000000003,2.0
2001-12-31,0.032,-0.204,-0.142,2.0
2002-01-31,0.026000000000000002,-0.1,-0.08900000000000001,2.0
2002-02-28,0.026000000000000002,-0.17500000000000002,-0.17800000000000002,2.0
2002-03-31,0.023,-0.062000000000000006,-0.07400000000000001,2.0
2002-04-30,0.025,0.08800000000000001,0.12,1.0
2002-05-31,0.03,0.065,0.099,1.0
2002-06-30,0.026000000000000002,-0.003,0.018000000000000002,1.0
2002-07-31,0.021,0.17600000000000002,0.17300000000000001,1.0
2002-08-31,0.024,0.18600000000000003,0.134,1.0
2002-09-30,0.031000000000000003,0.11699999999999999,0.109,1.0
2002-10-31,0.027999999999999997,0.24800000000000003,0.201,1.0
2002-11-30,0.035,0.231,0.21300000000000002,1.0
2002-12-31,0.037000000000000005,0.261,0.27899999999999997,1.0
2003-01-31,0.038,0.258,0.28,1.0
2003-02-28,0.039,0.21,0.32299999999999995,1.0
2003-03-31,0.045,0.161,0.324,0.0
2003-04-30,0.037000000000000005,0.192,0.17500000000000002,1.0
2003-05-31,0.032,0.035,0.065,1.0
2003-06-30,0.03,0.214,0.125,1.0
2003-07-31,0.032,0.152,0.14300000000000002,1.0
2003-08-31,0.03,0.10099999999999999,0.053,1.0
2003-09-30,0.033,0.22399999999999998,0.11900000000000001,1.0
2003-10-31,0.037000000000000005,0.255,0.197,1.0
2003-11-30,0.034,0.2,0.126,1.0
2003-12-31,0.034,0.313,0.22,1.0
2004-01-31,0.034,0.326,0.11800000000000001,1.0
2004-02-29,0.033,0.435,0.261,1.0
2004-03-31,0.031000000000000003,0.37700000000000006,0.20500000000000002,1.0
2004-04-30,0.033,0.36700000000000005,0.276,1.0
2004-05-31,0.033,0.42,0.32299999999999995,1.0
2004-06-30,0.036000000000000004,0.383,0.381,1.0
2004-07-31,0.044000000000000004,0.36100000000000004,0.23399999999999999,0.0
2004-08-31,0.048,0.28800000000000003,0.33799999999999997,0.0
2004-09-30,0.039,0.22399999999999998,0.252,1.0
2004-10-31,0.038,0.197,0.23399999999999999,1.0
2004-11-30,0.033,0.265,0.289,1.0
2004-12-31,0.03,0.17600000000000002,0.19,1.0
2005-01-31,0.034,0.18300000000000002,0.2,1.0
2005-02-28,0.034,0.066,0.053,1.0
2005-03-31,0.03,0.131,0.19100000000000003,1.0
2005-04-30,0.031000000000000003,0.065,0.128,1.0
2005-05-31,0.031000000000000003,0.11,0.18300000000000002,1.0
2005-06-30,0.027999999999999997,0.095,0.14800000000000002,1.0
2005-07-31,0.026000000000000002,0.106,0.17,1.0
2005-08-31,0.02,0.179,0.214,1.0
2005-09-30,0.025,0.177,0.249,1.0
2005-10-31,0.023,0.11900000000000001,0.11,1.0
2005-11-30,0.025,0.11900000000000001,0.174,1.0
2005-12-31,0.026000000000000002,0.105,0.154,1.0
2006-01-31,0.022000000000000002,0.036000000000000004,0.187,1.0
2006-02-28,0.02,0.166,0.278,1.0
2006-03-31,0.02,0.121,0.139,1.0
2006-04-30,0.02,0.11900000000000001,0.153,1.0
2006-05-31,0.023,0.20800000000000002,0.239,1.0
2006-06-30,0.024,0.179,0.222,1.0
2006-07-31,0.024,0.109,0.188,1.0
2006-08-31,0.027000000000000003,0.16899999999999998,0.22899999999999998,1.0
2006-09-30,0.025,0.209,0.21600000000000003,1.0
2006-10-31,0.022000000000000002,0.105,0.131,1.0
2006-11-30,0.021,0.185,0.122,1.0
2006-12-31,0.021,0.12300000000000001,0.138,1.0
2007-01-31,0.017,0.20800000000000002,0.195,1.0
2007-02-28,0.022000000000000002,0.10300000000000001,0.079,1.0
2007-03-31,0.022000000000000002,0.132,0.127,1.0
2007-04-30,0.025,0.17,0.20600000000000002,1.0
2007-05-31,0.023,0.11199999999999999,0.136,1.0
2007-06-30,0.025,0.145,0.095,1.0
2007-07-31,0.025,0.172,0.14400000000000002,1.0
2007-08-31,0.02,0.136,0.09699999999999999,1.0
2007-09-30,0.023,-0.011000000000000001,-0.016,2.0
2007-10-31,0.03,0.22899999999999998,0.278,1.0
2007-11-30,0.035,0.17,0.268,1.0
2007-12-31,0.036000000000000004,0.14800000000000002,0.23199999999999998,1.0
2008-01-31,0.039,0.149,0.317,1.0
2008-02-29,0.036000000000000004,0.189,0.284,1.0
2008-03-31,0.039,0.184,0.267,1.0
2008-04-30,0.040999999999999995,0.264,0.29300000000000004,0.0
2008-05-31,0.049,0.269,0.29600000000000004,0.0
2008-06-30,0.055,0.16399999999999998,0.327,0.0
2008-07-31,0.059000000000000004,0.35600000000000004,0.47000000000000003,0.0
2008-08-31,0.055999999999999994,0.18100000000000002,0.364,0.0
2008-09-30,0.051,0.276,0.454,0.0
2008-10-31,0.048,0.078,0.10300000000000001,0.0
2008-11-30,0.045,-0.195,-0.15,3.0
2008-12-31,0.040999999999999995,-0.179,-0.21600000000000003,3.0
2009-01-31,0.037000000000000005,-0.34500000000000003,-0.314,2.0
2009-02-28,0.040999999999999995,-0.185,-0.308,3.0
2009-03-31,0.039,-0.225,-0.35600000000000004,2.0
2009-04-30,0.036000000000000004,-0.19899999999999998,-0.35000000000000003,2.0
2009-05-31,0.027000000000000003,-0.294,-0.395,2.0
2009-06-30,0.02,-0.136,-0.321,2.0
2009-07-31,0.016,-0.22100000000000003,-0.35600000000000004,2.0
2009-08-31,0.022000000000000002,-0.209,-0.322,2.0
2009-09-30,0.022000000000000002,-0.094,-0.247,2.0
2009-10-31,0.02,-0.085,-0.158,2.0
2009-11-30,0.024,0.179,0.024,1.0
2009-12-31,0.027999999999999997,0.32799999999999996,0.239,1.0
2010-01-31,0.035,0.454,0.267,1.0
2010-02-28,0.03,0.30100000000000005,0.374,1.0
2010-03-31,0.025,0.33799999999999997,0.48700000000000004,1.0
2010-04-30,0.026000000000000002,0.29600000000000004,0.428,1.0
2010-05-31,0.027000000000000003,0.39799999999999996,0.489,1.0
2010-06-30,0.027000000000000003,0.305,0.37200000000000005,1.0
2010-07-31,0.025,0.267,0.28,1.0
2010-08-31,0.027000000000000003,0.26,0.287,1.0
2010-09-30,0.034,0.162,0.17600000000000002,1.0
2010-10-31,0.037000000000000005,0.276,0.217,1.0
2010-11-30,0.03,0.214,0.309,1.0
2010-12-31,0.03,0.226,0.217,1.0
2011-01-31,0.034,0.44700000000000006,0.331,1.0
2011-02-28,0.039,0.16399999999999998,0.17300000000000001,1.0
2011-03-31,0.040999999999999995,0.28800000000000003,0.281,0.0
2011-04-30,0.038,0.23500000000000001,0.244,1.0
2011-05-31,0.039,0.217,0.299,1.0
2011-06-30,0.042,0.111,0.271,0.0
2011-07-31,0.045,0.21100000000000002,0.251,0.0
2011-08-31,0.047,0.255,0.287,0.0
2011-09-30,0.038,0.18,0.294,1.0
2011-10-31,0.036000000000000004,0.076,0.154,1.0
2011-11-30,0.042,0.115,0.11199999999999999,0.0
2011-12-31,0.042,0.08199999999999999,0.136,0.0
2012-01-31,0.034,-0.073,0.037000000000000005,1.0
2012-02-29,0.03,0.204,0.239,1.0
2012-03-31,0.027000000000000003,-0.015,-0.011000000000000001,2.0
2012-04-30,0.026000000000000002,-0.05,-0.005,2.0
2012-05-31,0.025,-0.01,-0.018000000000000002,2.0
2012-06-30,0.022000000000000002,0.009000000000000001,-0.063,2.0
2012-07-31,0.015,-0.087,-0.052000000000000005,2.0
2012-08-31,0.013000000000000001,-0.06,-0.094,2.0
2012-09-30,0.021,-0.024,-0.06,2.0
2012-10-31,0.021,0.01,0.016,1.0
2012-11-30,0.016,0.039,0.009000000000000001,1.0
2012-12-31,0.013999999999999999,-0.06,-0.053,2.0
2013-01-31,0.016,0.109,0.040999999999999995,1.0
2013-02-28,0.016,-0.086,-0.10300000000000001,2.0
2013-03-31,0.015,0.0,-0.024,2.0
2013-04-30,0.013000000000000001,0.001,-0.006999999999999999,2.0
2013-05-31,0.012,0.031000000000000003,-0.047,2.0
2013-06-30,0.012,-0.01,-0.03,2.0
2013-07-31,0.016,0.026000000000000002,0.034,1.0
2013-08-31,0.015,0.076,0.012,1.0
2013-09-30,0.01,-0.017,-0.035,2.0
2013-10-31,0.009000000000000001,0.07200000000000001,0.051,1.0
2013-11-30,0.012,0.002,-0.006,2.0
2013-12-31,0.011000000000000001,0.069,0.03,1.0
2014-01-31,0.011000000000000001,-0.002,-0.012,2.0
2014-02-28,0.01,0.013999999999999999,0.04,1.0
2014-03-31,0.013000000000000001,0.037000000000000005,0.036000000000000004,1.0
2014-04-30,0.015,0.08900000000000001,0.051,1.0
2014-05-31,0.017,-0.015,0.005,1.0
2014-06-30,0.017,0.024,0.043,1.0
2014-07-31,0.016,0.052000000000000005,0.057,1.0
2014-08-31,0.013999999999999999,-0.004,0.028999999999999998,1.0
2014-09-30,0.011000000000000001,0.063,0.076,1.0
2014-10-31,0.011000000000000001,0.023,-0.033,2.0
2014-11-30,0.01,-0.027000000000000003,-0.040999999999999995,2.0
2014-12-31,0.008,0.031000000000000003,-0.01,2.0
2015-01-31,0.01,-0.01,-0.122,2.0
2015-02-28,0.006,-0.034,-0.192,2.0
2015-03-31,0.005,-0.046,-0.155,2.0
2015-04-30,0.004,-0.08,-0.17500000000000002,2.0
2015-05-31,0.006,-0.11,-0.154,2.0
2015-06-30,0.006999999999999999,-0.027000000000000003,-0.138,2.0
2015-07-31,0.006999999999999999,-0.052000000000000005,-0.157,2.0
2015-08-31,0.006999999999999999,-0.152,-0.187,2.0
2015-09-30,0.005,-0.085,-0.218,2.0
2015-10-31,0.008,-0.16,-0.166,2.0
2015-11-30,0.008,-0.05,-0.17600000000000002,2.0
2015-12-31,0.011000000000000001,-0.14300000000000002,-0.192,2.0
2016-01-31,0.006,-0.196,-0.203,2.0
2016-02-29,0.011000000000000001,-0.134,-0.142,2.0
2016-03-31,0.008,-0.08199999999999999,-0.134,2.0
2016-04-30,0.01,-0.111,-0.14400000000000002,2.0
2016-05-31,0.008,-0.061,-0.084,2.0
2016-06-30,0.006999999999999999,-0.028999999999999998,-0.07400000000000001,2.0
2016-07-31,0.004,-0.105,-0.136,2.0
2016-08-31,0.005,0.026000000000000002,0.01,1.0
2016-09-30,0.013000000000000001,-0.06,-0.016,2.0
2016-10-31,0.015,-0.032,-0.047,2.0
2016-11-30,0.015,0.023,0.094,1.0
2016-12-31,0.013000000000000001,0.063,0.08,1.0
2017-01-31,0.022000000000000002,0.11,0.20199999999999999,1.0
2017-02-28,0.021,0.20199999999999999,0.24100000000000002,1.0
2017-03-31,0.023,0.131,0.277,1.0
2017-04-30,0.02,0.23800000000000002,0.172,1.0
2017-05-31,0.02,0.131,0.19,1.0
2017-06-30,0.018000000000000002,0.134,0.197,1.0
2017-07-31,0.022000000000000002,0.19399999999999998,0.157,1.0
2017-08-31,0.025,0.174,0.155,1.0
2017-09-30,0.02,0.349,0.227,1.0
2017-10-31,0.018000000000000002,0.067,0.08,1.0
2017-11-30,0.012,0.09699999999999999,0.128,1.0
2017-12-31,0.013999999999999999,0.08800000000000001,0.136,1.0
2018-01-31,0.008,0.223,0.217,1.0
2018-02-28,0.013000000000000001,0.031000000000000003,0.152,1.0
2018-03-31,0.012,0.055,0.054000000000000006,1.0
2018-04-30,0.015,-0.02,0.151,1.0
2018-05-31,0.015,0.128,0.132,1.0
2018-06-30,0.015,-0.004,0.11,1.0
2018-07-31,0.011000000000000001,0.061,0.163,1.0
2018-08-31,0.013999999999999999,0.087,0.094,1.0
2018-09-30,0.021,-0.081,-0.016,2.0
2018-10-31,0.02,0.225,0.281,1.0
2018-11-30,0.02,0.036000000000000004,0.114,1.0
2018-12-31,0.013000000000000001,-0.017,0.011000000000000001,1.0
2019-01-31,0.008,-0.062000000000000006,-0.013999999999999999,2.0
2019-02-28,0.005,-0.113,-0.122,2.0
2019-03-31,0.004,-0.084,-0.065,2.0
2019-04-30,0.006,-0.021,0.031000000000000003,1.0
2019-05-31,0.006999999999999999,-0.098,-0.019,2.0
2019-06-30,0.006999999999999999,-0.138,-0.109,2.0
2019-07-31,0.006,-0.111,-0.026000000000000002,2.0
2019-08-31,0.0,-0.14,-0.043,2.0
2019-09-30,-0.004,-0.11900000000000001,-0.055999999999999994,2.0
2019-10-31,0.0,-0.15,-0.146,2.0
2019-11-30,0.002,-0.145,-0.13,2.0
2019-12-31,0.006999999999999999,-0.053,-0.008,2.0
2020-01-31,0.012,-0.066,-0.054000000000000006,2.0
2020-02-29,0.009000000000000001,0.036000000000000004,0.009000000000000001,1.0
2020-03-31,0.008,-0.018000000000000002,-0.004,2.0
2020-04-30,0.0,-0.256,-0.158,2.0
2020-05-31,-0.002,-0.237,-0.20500000000000002,2.0
2020-06-30,0.002,-0.109,-0.107,2.0
2020-07-31,0.004,-0.071,-0.11199999999999999,2.0
2020-08-31,0.008,-0.10300000000000001,-0.156,2.0
2020-09-30,0.009000000000000001,0.071,0.017,1.0
2020-10-31,0.001,-0.039,-0.055999999999999994,2.0
2020-11-30,0.006,0.039,-0.019,2.0
2020-12-31,0.006,0.12400000000000001,0.022000000000000002,1.0
2021-01-31,0.009000000000000001,0.114,0.040999999999999995,1.0
2021-02-28,0.013999999999999999,0.09300000000000001,0.147,1.0
2021-03-31,0.019,0.163,0.19,1.0
2021-04-30,0.025,0.41200000000000003,0.342,1.0
2021-05-31,0.026000000000000002,0.455,0.38200000000000006,1.0
2021-06-30,0.023,0.397,0.409,1.0
2021-07-31,0.026000000000000002,0.29600000000000004,0.38200000000000006,1.0
2021-08-31,0.026000000000000002,0.34700000000000003,0.44,1.0
2021-09-30,0.024,0.16899999999999998,0.311,1.0
2021-10-31,0.032,0.242,0.37700000000000006,1.0
2021-11-30,0.038,0.319,0.436,1.0
2021-12-31,0.037000000000000005,0.18300000000000002,0.37,1.0
2022-01-31,0.036000000000000004,0.155,0.363,1.0
2022-02-28,0.037000000000000005,0.21100000000000002,0.261,1.0
2022-03-31,0.040999999999999995,0.188,0.28300000000000003,0.0
2022-04-30,0.048,0.129,0.18300000000000002,0.0
2022-05-31,0.054000000000000006,0.214,0.318,0.0
2022-06-30,0.06,0.053,0.193,0.0
2022-07-31,0.063,0.086,0.21600000000000003,0.0
2022-08-31,0.057,0.065,0.28,0.0
2022-09-30,0.055999999999999994,0.023,0.182,0.0
2022-10-31,0.057,-0.057999999999999996,0.099,0.0
2022-11-30,0.05,-0.142,0.026000000000000002,0.0
2022-12-31,0.05,-0.09699999999999999,-0.025,3.0
2023-01-31,0.052000000000000005,-0.16399999999999998,-0.027999999999999997,3.0
2023-02-28,0.048,-0.077,0.035,0.0
2023-03-31,0.042,-0.138,-0.065,3.0
2023-04-30,0.037000000000000005,-0.14400000000000002,-0.133,2.0
2023-05-31,0.033,-0.152,-0.14,2.0
